"Foolad"
0, 0
159.8, 0.00706858
319.6, 0.0226195
479.4, 0.0424115
639.2, 0.0636173
799, 0.0763407
958.8, 0.0834093
1118.6, 0.089771
1278.4, 0.0940122
1438.2, 0.0961327
1613.98, 0.0989602


"Foolad2"
-0, 0
-159.8, 0.00706858
-319.6, 0.0226195
-479.4, 0.0424115
-639.2, 0.0636173
-799, 0.0763407
-958.8, 0.0834093
-1118.6, 0.089771
-1278.4, 0.0940122
-1438.2, 0.0961327
-1613.98, 0.0989602


"Foolad3"
1200, 0
1200.2, 0.00706858
1200.4, 0.0226195
1200.6, 0.0424115
1200.8, 0.0636173
1201, 0.0763407
1201.2, 0.0834093
1201.4, 0.089771
1201.6, 0.0940122
1201.8, 0.0961327
1202.02, 0.0989602
